id;name;num_screens;num_seats;insee;commune;genre;art_et_essai;3D_screen
245883;CINE JIM 32;1;88;32233;Marciac;FIXE;1;1
246763;L'ESTRAN;1;206;17219;Marennes;FIXE;1;1
248254;PLAZA;4;513;47157;Marmande;FIXE;1;1
250751;LE SILVERADO;1;150;16211;Marthon;FIXE;1;0
251922;SALLE NOTRE-DAME;1;153;32242;Masseube;FIXE;1;1
252212;LE FORUM;1;154;17224;Matha;FIXE;0;0
252701;CINE CASTEL;1;269;79079;Mauléon;FIXE;1;1
252742;MAULE BAITHA;2;416;64371;Mauléon-Licharre;FIXE;1;1
253442;CINEMAUV;1;92;32249;Mauvezin;FIXE;1;1
254005;CINEMA APOLLO;2;485;81163;Mazamet;FIXE;1;1
254173;CINEMAZ;1;182;09185;Mazères;FIXE;0;0
255911;LE MELIES;2;434;79174;Melle;FIXE;1;1
258161;MERIGNAC CINE;4;1_041;33281;Mérignac;FIXE;0;1
259022;FAMILY FUN PARK;1;133;17230;Meschers-sur-Gironde;FIXE;1;0
260340;CAMPING LE VIEUX PORT;1;;40181;Messanges;ITINERANT;0;0
261351;LE SOUBISE;1;244;19136;Meymac;FIXE;1;1
262622;LES CINEMAS DE MILLAU;4;581;12145;Millau;FIXE;1;1
262921;LE PARNASSE;1;750;40184;Mimizan;FIXE;1;0
263372;CINE ASTARAC;1;250;32256;Mirande;FIXE;1;0
263563;ESPACE CULTUREL ANDRE MALRAUX;1;106;09194;Mirepoix;FIXE;1;0
264591; CONCORDE;6;737;82112;Moissac;FIXE;0;0
266213;CINE'MONCLAR;1;153;82115;Monclar-de-Quercy;FIXE;0;1
266292;STELLA;1;295;79179;Moncoutant;FIXE;1;1
266571;LA BOBINE;1;159;64393;Monein;FIXE;1;1
267243;LE LASCAUX;1;179;24294;Montpon-Ménestérol;FIXE;1;1
267391;EDEN;1;189;33289;Monségur;FIXE;1;1
267432;LE LIBERTY 2;2;312;47179;Monsempron-Libos;FIXE;1;1
268122;CINEMA CAMERA 5 (L1S ET AUGUSTE LUMIERE);2;280;85146;Montaigu;FIXE;1;1
268813;CGR LE PARIS;3;461;82121;Montauban;FIXE;1;1
270562;ROYAL CINEMA;4;607;40192;Mont-de-Marsan;FIXE;0;1
271162;ANDRONIS;1;120;17240;Montendre;FIXE;1;0
272481;LE CINE;1;133;17241;Montguyon;FIXE;1;1
272701;VOX;1;176;24291;Montignac;FIXE;1;1
274682;LE MONTMORELIEN;1;92;16230;Montmoreau;FIXE;1;0
274732;MAJESTIC;1;166;86165;Montmorillon;FIXE;1;1
275751;CINE SELECT;1;202;81182;Montredon-Labessonnié;FIXE;0;0
275771;VARIETES;1;200;31390;Montréjeau;FIXE;1;0
